name,rating,users_count,tags,link
Qpwoeirut and Vertices,2300,16,"binary search, data structures, dfs and similar, divide and conquer, dsu, greedy, trees",https://codeforces.com/problemset/problem/1706/E
Mark and Professor Koro,2300,20,"binary search, bitmasks, brute force, combinatorics, data structures, greedy",https://codeforces.com/problemset/problem/1705/E
Keshi in Search of AmShZ,2300,52,"graphs, greedy, shortest paths",https://codeforces.com/problemset/problem/1693/C
Number of Groups,2300,42,"data structures, dfs and similar, dsu, graphs, greedy, sortings",https://codeforces.com/problemset/problem/1691/E
Unique Occurrences,2300,25,"data structures, dfs and similar, divide and conquer, dp, dsu, trees",https://codeforces.com/problemset/problem/1681/F
388535 (Hard Version),2300,33,"bitmasks, brute force, data structures, math",https://codeforces.com/problemset/problem/1658/D2
Grid Xor,2300,49,"constructive algorithms, greedy, implementation, interactive, math",https://codeforces.com/problemset/problem/1628/C
Binary Spiders,2300,44,"bitmasks, data structures, implementation, math, sortings, trees",https://codeforces.com/problemset/problem/1625/D
New School,2300,92,"binary search, data structures, dp, greedy, implementation, sortings",https://codeforces.com/problemset/problem/1621/E
AmShZ and G.O.A.T.,2300,73,"binary search, brute force, greedy, implementation, math",https://codeforces.com/problemset/problem/1610/E
Extreme Extension,2300,73,"dp, greedy, math, number theory",https://codeforces.com/problemset/problem/1603/C
Rubik's Cube Coloring (hard version),2300,16,"brute force, dp, implementation, math, trees",https://codeforces.com/problemset/problem/1594/E2
Gregor and the Odd Cows (Easy),2300,46,"bitmasks, geometry, math, number theory",https://codeforces.com/problemset/problem/1548/D1
Colors and Intervals,2300,60,"constructive algorithms, data structures, greedy, sortings",https://codeforces.com/problemset/problem/1552/E
Pairwise Modulo,2300,85,"data structures, math",https://codeforces.com/problemset/problem/1553/F
Tree Array,2300,35,"brute force, combinatorics, dp, graphs, math, probabilities, trees",https://codeforces.com/problemset/problem/1540/B
Lost Array,2300,97,"graphs, greedy, interactive, shortest paths",https://codeforces.com/problemset/problem/1534/E
Trees of Tranquillity,2300,50,"data structures, dfs and similar, greedy, trees",https://codeforces.com/problemset/problem/1528/C
Garden of the Sun,2300,70,"constructive algorithms, graphs",https://codeforces.com/problemset/problem/1495/C
Dogecoin,2300,4,"*special, *special, binary search, data structures",https://codeforces.com/problemset/problem/1488/F
Similar Sets,2300,139,"data structures, graphs, implementation",https://codeforces.com/problemset/problem/1468/M
Poman Numbers,2300,52,"bitmasks, constructive algorithms, dp, greedy, math",https://codeforces.com/problemset/problem/1464/C
Errich-Tac-Toe (Hard Version),2300,41,"constructive algorithms, math",https://codeforces.com/problemset/problem/1450/C2
Leaving the Bar,2300,65,"brute force, data structures, geometry, greedy, math, sortings",https://codeforces.com/problemset/problem/995/C
Two Different,2300,52,"constructive algorithms, divide and conquer",https://codeforces.com/problemset/problem/1408/F
Fixed Point Removal,2300,61,"binary search, constructive algorithms, data structures, greedy, two pointers",https://codeforces.com/problemset/problem/1404/C
Monster Invaders,2300,97,"dp, greedy, implementation",https://codeforces.com/problemset/problem/1396/C
Boboniu Walks on Graph,2300,67,"brute force, dfs and similar, graphs, hashing",https://codeforces.com/problemset/problem/1394/B
Two IP Cameras,2300,14,"*special, math, number theory",https://codeforces.com/problemset/problem/1346/G
Tourism,2300,29,"dp, graphs, probabilities",https://codeforces.com/problemset/problem/1310/D
Xenon's Attack on the Gangs,2300,75,"combinatorics, dfs and similar, dp, greedy, trees",https://codeforces.com/problemset/problem/1292/C
Divide Points,2300,85,"constructive algorithms, geometry, math",https://codeforces.com/problemset/problem/1270/E
K Integers,2300,46,"binary search, data structures",https://codeforces.com/problemset/problem/1268/C
kotlinkotlinkotlinkotlin...,2300,3,"*special, graphs, implementation, strings",https://codeforces.com/problemset/problem/1211/F
Hiking,2300,1,"*special, binary search, dp",https://codeforces.com/problemset/problem/1212/G
Rectangle Painting 1,2300,42,dp,https://codeforces.com/problemset/problem/1198/D
Earth Wind and Fire,2300,121,"constructive algorithms, greedy, math, sortings, two pointers",https://codeforces.com/problemset/problem/1148/E
Envy,2300,3,graphs,https://codeforces.com/problemset/problem/892/E
Dating,2300,39,"brute force, dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/852/I
Wilbur and Trees,2300,1,"dp, math, probabilities, sortings",https://codeforces.com/problemset/problem/596/D
Bear and Drawing,2300,76,"constructive algorithms, dfs and similar, trees",https://codeforces.com/problemset/problem/573/C
Matching Names,2300,12,"dfs and similar, strings, trees",https://codeforces.com/problemset/problem/566/A
Matching Names,2300,4,,https://codeforces.com/problemset/problem/562/F
Looksery Party,2300,20,"constructive algorithms, dfs and similar, graphs, greedy",https://codeforces.com/problemset/problem/549/B
Fox And Dinner,2300,18,"flows, graph matchings",https://codeforces.com/problemset/problem/512/C
New Year Domino,2300,20,"data structures, dp, dsu",https://codeforces.com/problemset/problem/500/E
